name,slug,lat,lng,country,wind_direction,water_type,difficulty,season,url
20 Mile,20_Mile,60.8554,-149.0105,Alaska+(USA),SW,"Shallow, Flat, Chop","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/20_Mile
2nd Ave North,2nd_Ave_North,26.1482,-81.8083,Florida+(USA),"S, SSW, SW, WSW, W, WNW, NW, NNW","Flat, Chop, Small wave, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/2nd_Ave_North
39beach Rimini,39beach_Rimini,44.0658,12.5878,Italy,"N, NNE, NE, ENE, E, ESE, SE","Flat, Chop, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/39beach_Rimini
3rd ave,3rd_ave,37.5734,-122.2793,California+(USA),NW,"Shallow, Chop, Small wave, Medium wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/3rd_ave
7 chann beach  independence beach,7_chann_beach__independence_beach_,10.6134,103.4992,Cambodia,No information,"Flat, Chop","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/7_chann_beach__independence_beach_
907 Court Martial Ranch Road,907_Court_Martial_Ranch_Road,30.1584,-85.7788,Florida+(USA),"SE, S, SW, W","Chop, Small wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/907_Court_Martial_Ranch_Road
A Bay,A_Bay,19.9106,-155.8942,Hawaii+(USA),No information,Chop,"Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/A_Bay
A Lanzada,A_Lanzada,42.4408,-8.872,Spain,"N, S, SSW, SW, WSW, NNW","Small wave, Medium wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/A_Lanzada
Aadale,Aadale__Ho_bugt__Esbjerg_,55.5098,8.3782,Denmark,"S, SSW, SW, WSW, W, WNW, NW, NNW","Shallow, Flat, Chop","Beginner, Intermediate, Expert",,https://se.kiteforum.com/spot/Aadale__Ho_bugt__Esbjerg_
Abbekas Hamn,Abbekas_Hamn,55.3934,13.6016,Sweden,"E, ESE, SE, SSE, S","Shallow, Chop, Small wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Abbekas_Hamn
Aber Wrac h,Aber_Wrac_h,48.5983,-4.5639,France,"N, NNE, NE","Flat, Chop","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Aber_Wrac_h
Aberta a Nova,Aberta_a_Nova,38.1774,-8.7814,Portugal,"N, NW, NNW","Small wave, Medium wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Aberta_a_Nova
Abou Mingar,Abou_Mingar,27.2175,33.8842,Egypt,"N, NW, NNW","Shallow, Flat","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Abou_Mingar
Abu Soma Riders,Abu_Soma_Riders,26.8148,33.9479,Egypt,"NE, NW","Shallow, Flat, Small wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Abu_Soma_Riders
Acevedo,Acevedo,-37.9659,-57.5394,Argentina,"NNE, NE, SE, SSE","Chop, Small wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Acevedo
Achakar,Achakar,35.7287,-5.9469,Morocco,No information,Medium wave,"Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Achakar
Achill Island   Keel Lake,Achill_Island___Keel_Lake,53.9825,-10.0585,Ireland,"S, SSW, SW","Flat, Chop","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Achill_Island___Keel_Lake
Acores,Acores,-27.7837,-48.5235,Brazil,"SE, SSE, S",Medium wave,"Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Acores
Adelka beach,Adelka_beach,38.3285,26.7018,Turkey,"W, WNW, NW, NNW","Shallow, Flat","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Adelka_beach
Aeropuerto,Aeropuerto,11.118,-74.2331,Colombia,"N, NNE","Flat, Chop, Small wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Aeropuerto
Affenruecken Point,Affenruecken_Point,-27.9325,15.6756,Namibia,"S, SSW, SW","Small wave, Medium wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Affenruecken_Point
Agate Beach1d,Agate_Beach1d,44.6591,-124.0584,Oregon+(USA),NW,Medium wave,"Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Agate_Beach1d
Agger,agger,56.7837,8.2298,Denmark,"SSE, S",Medium wave,"Intermediate, Expert",,https://se.kiteforum.com/spot/agger
Agger Lake,agger_lake,56.7973,8.2594,Denmark,"SW, WSW, W, WNW, NW","Shallow, Flat, Chop","Beginner, Intermediate, Expert",,https://se.kiteforum.com/spot/agger_lake
Agia Anna  Evia  Greece,Agia_Anna__Evia__Greece,38.8662,23.4428,Greece,No information,"Chop, Small wave, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Agia_Anna__Evia__Greece
Agrelo beach,Agrelo_beach,42.3347,-8.7687,Spain,"N, NW, NNW","Flat, Chop, Small wave, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Agrelo_beach
Agrilaopotamos,Agrilaopotamos,35.4297,27.1107,Greece,NNW,"Flat, Chop, Small wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Agrilaopotamos
Ahl,ahl,56.1769,10.6396,Denmark,No information,"Shallow, Flat, Chop, Small wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/spot/ahl
Ahrenshoop,ahrenshoop,54.3789,12.4117,Germany,"SW, WSW, W","Chop, Small wave, Medium wave",Expert,,https://se.kiteforum.com/spot/ahrenshoop
Aitutaki   Lagoon Resort,Aitutaki___Lagoon_Resort,-18.8505,-159.7601,Cook+Islands,"E, ESE, SE, SSE, S","Shallow, Flat","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Aitutaki___Lagoon_Resort
Aitutaki Akaiami,Aitutaki_Akaiami,-18.9061,-159.7297,Cook+Islands,"E, ESE, SE, SSE, S","Shallow, Flat","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Aitutaki_Akaiami
Aitutaki One Foot Island,Aitutaki_One_Foot_Island,-18.9483,-159.7329,Cook+Islands,"E, ESE, SE, SSE, S","Shallow, Flat","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Aitutaki_One_Foot_Island
Akdeniz,Akdeniz,35.2984,32.9401,Cyprus,"ENE, E, ESE","Chop, Small wave, Medium wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Akdeniz
Akrasanden,Akrasanden,59.2495,5.1943,Norway,"N, NNE, NE, SSW, SW, WSW, W, WNW, NW, NNW","Shallow, Medium wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Akrasanden
Akrogen,akrogen,56.2039,10.2844,Denmark,No information,"Flat, Chop",No information,,https://se.kiteforum.com/spot/akrogen
Al Ahia,Al_Ahia,27.3039,33.7431,Egypt,"N, NW, NNW","Shallow, Flat","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Al_Ahia
Alabota,Alabota,53.9215,73.8108,Russia,No information,"Flat, Chop, Small wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Alabota
Alacati End of Bay,Alacati_End_of_Bay,38.2605,26.3854,Turkey,"SE, SSE, S","Shallow, Flat, Chop","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Alacati_End_of_Bay
Alacati Kitebeach,Alacati_Kitebeach,38.2463,26.4015,Turkey,"N, NW, NNW","Shallow, Flat, Chop","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Alacati_Kitebeach
Alarcon,Alarcon,39.7036,-2.2525,Spain,"E, ESE, SE, SSE, SSW","Flat, Chop","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Alarcon
Albaek,albaek,57.5941,10.4282,Denmark,NE,No information,"Intermediate, Expert",,https://se.kiteforum.com/spot/albaek
Albatros Hotel,Albatros_Hotel,27.1236,33.8302,Egypt,"N, NNE, NE","Flat, Chop","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Albatros_Hotel
Albatross,Albatross,-34.0168,24.9281,South+Africa,SE,Medium wave,Expert,,https://se.kiteforum.com/kitesurf/spot/Albatross
